LR No,Date,Customer,Place,Quantity,Amount,Payment Method,Type
573,20-11-2025,FAROOK KHAN,CALICUT,3,1650.0,1,Booking
574,20-11-2025,GRANDTECH,ERNAKULAM,50,5000.0,1,Booking
575,20-11-2025,NEW GOLDEN DECOR,CHANGANACHERY,1,300.0,1,Booking
576,20-11-2025,WINNER TOY LAND,COIMBATORE,2,1000.0,1,Booking
577,20-11-2025,SUSRUTA CAB,BANGALORE,20,4000.0,1,Booking
578,20-11-2025,SHEETAL FLOWERS,MANGALORE,4,1500.0,1,Booking
579,20-11-2025,SUPREME DECORATIVE,KASARGOD,5,1000.0,1,Booking
580,20-11-2025,GOLDEN OFFSET,TIRUPUR,5,750.0,1,Booking
581,20-11-2025,CLASSIC GOLD,COIMBATORE,1,120.0,2,Booking
999,20-11-2025,SR PLY WOODS,COIMBATORE,5,500.0,3,Booking
1000,20-11-2025,SHRI VIGNESHWARA,TIRUPUR,25,616.0,3,Booking
001,20-11-2025,ARAVIND PACKAGES,TIRUPUR,1,156.0,3,Booking
342,04-11-2025,NATIONAL FITNESS,TIRUR,3,1200.0,1,Booking
002,21-11-2025,ASWIN GRAPHICS,TIRUPUR,3,668.0,3,Booking
003,21-11-2025,TOP STICKER,TIRUPUR,2,512.0,3,Booking
004,21-11-2025,SHREE MARKETING,ERODE,12,270.0,3,Booking
005,21-11-2025,VIVEKANANTHA,ERODE,5,180.0,3,Booking
006,21-11-2025,SIVA SIDH PACKS,KARUR,10,2000.0,3,Booking
582,21-11-2025,SLOVAK,KOLLAM,6,2120.0,1,Booking
583,21-11-2025,SLOVAK TECHNO,KOLLAM,5,1375.0,1,Booking
584,21-11-2025,MEHTHA ENTERPRISES,MYSORE,5,1500.0,1,Booking
585,21-11-2025,SHREE SHANTHINATH,TIRUPUR,6,900.0,1,Booking
586,21-11-2025,SVM SOAP,PALAKAD,3,3960.0,1,Booking
587,21-11-2025,ENGINEERING POLY,MADURAI,2,200.0,1,Booking
588,21-11-2025,SAARP NON WOVEN,TIRUPUR,4,400.0,1,Booking
589,21-11-2025,PONKUNNAM LIGHT,PONKUNNAM,1,250.0,1,Booking
590,21-11-2025,REDEEM,COIMBATORE,11,3656.0,1,Booking
591,21-11-2025,POPULAR SCOOTERS,TRIVANDRUM,4,1000.0,1,Booking
592,21-11-2025,KEMI STEEL INDUSTRIES,PALAKAD,8,2000.0,1,Booking
593,21-11-2025,SRI JAYAM,TIRUPUR,2,350.0,1,Booking
594,21-11-2025,SRI BALAJI,COIMBATORE,2,300.0,1,Booking
595,21-11-2025,EARLY DAY,KOZHIKODE,2,500.0,1,Booking
1414,13-11-2025,WE ONE TRADERS,WALLTAX,1,400.0,1,Received
1415,13-11-2025,VARIETY THREAD,WALLTAX,5,1300.0,1,Received
